how long?;как долго?
how much/many?;сколько?
how old?;сколько лет?
how?;как?
since what time?;с какого времени?
what colour?;какого цвета?
what kind of / type of?;какой?
what time?;в какое время?
what?;что? какой?
what…about?;о чем?
what…for?;для чего?
what…with?;чем?
when?;когда?
where from?;откуда?
where?;где, куда?
where…from?;откуда?
which?;какой? который?
who?;кто?
whom?;кого?
whose?;чей?
who…about?;о ком?
who…at?;на кого?
who…by?;кем?
who…for?;кому? за кого? для кого?
who…from?;от кого?
who…with?;с кем?
why?;почему?
