adviser;советник, консультант
affair;дело
appointment;назначение (на должность, место)
authority;власть, полномочие, авторитет
bill;законопроект
court;суд
elective;выборный
executive;исполнительный
govern;управлять
government;правительство
legislative;законодательный
majority;большинство
monarch;монарх
monarchy;монархия
obtain;получить
occupy;занимать
opposition;оппозиция
parliament;парламент
parliamentary;парламентский
power;власть, полномочия
reign;царствовать
resident;постоянный житель
resign;уходить в отставку
responsible;ответственный
sign;подписывать(ся), ставить подпись
